ID,Citation_Key,First_Author,Year,Title,Venue,Source_Type,Quality,FinOps_Phase,RQ,DOI_or_URL
40,GenKubeSec2024,Malul E.,2024,GenKubeSec: LLM-based Kubernetes Misconfiguration Detection and Remediation,arXiv,Academic,Moderate,Operate,RQ2,arXiv:2405.19954
41,IaCEval2024,Kon P.T.J.,2024,IaC-Eval: A Code Generation Benchmark for Cloud Infrastructure-as-Code,NeurIPS Datasets and Benchmarks Track,Academic,High,Operate,RQ2,NeurIPS 2024
42,Ouhame2021CNNLSTM,Ouhame S.,2021,An Efficient Forecasting Approach for Resource Utilization Using CNN-LSTM,Neural Computing and Applications (Springer),Academic,High,Inform,RQ1,10.1007/s00521-021-05770-9
43,Anuganti2024K8s,Anuganti C.,2024,AI-Driven Cloud Optimization: ML Approach to Kubernetes Autoscaling,CSEIT,Academic,Moderate,Operate,"RQ1, RQ3",10.32628/cseit24102152
44,Hu2024RouterBench,Hu Q.J.,2024,RouterBench: A Benchmark for Multi-LLM Routing System,arXiv,Academic,Moderate,Optimize,RQ2,arXiv:2403.12031
45,AlAsaly2022DeepLearning,Al-Asaly M.S.,2022,A deep learning-based resource usage prediction model for resource provisioning,Neural Computing and Applications (Springer),Academic,High,Inform,RQ1,10.1007/s00521-021-06665-5
46,Ahamed2023CloudDL,Ahamed Z.,2023,Technical Study of Deep Learning in Cloud Computing for Workload Prediction,Electronics (MDPI),Academic,Moderate,Inform,RQ1,10.3390/electronics12030650
47,Khandelwal2024SpotPrice,Khandelwal V.,2024,Amazon EC2 spot price prediction using LSTM time series prediction model,International Journal of Cloud Computing,Academic,Moderate,Inform,RQ1,10.1504/ijcc.2024.136289
48,Bora2025TFTKubernetes,Bora K.,2025,Temporal Fusion Transformer Based Vertical Scaling Management for Kubernetes,IEEE CLOUD,Academic,High,"Inform, Operate",RQ1,10.1109/CLOUD67622.2025.00058
49,Naganandhini2025TFTMultiCloud,Naganandhini S.,2025,Temporal fusion transformer-based strategy for efficient multi-cloud content replication,PeerJ Computer Science,Academic,High,Inform,RQ1,10.7717/peerj-cs.2713
50,Wang2024Multiscale,Wang S.,2024,Multiscale Representation Enhanced Temporal Flow Fusion Model,ACM CIKM,Academic,High,Inform,RQ1,10.1145/3627673.3680072
51,Lu2025STiFFNet,Lu Y.,2025,STiFF-Net: Spatial-Temporal Image-Driven Feature Fusion for Workload Prediction,IEEE Transactions on Cloud Computing,Academic,High,Inform,"RQ1, RQ3",10.1109/TCC.2025.3628344
52,AbdelKhaleq2023RLAutoscaling,Abdel Khaleq A.,2023,Intelligent microservices autoscaling module using reinforcement learning,Cluster Computing (Springer),Academic,High,Operate,RQ1,10.1007/s10586-023-03999-8
53,Mishra2024CloudRL,Mishra P.,2024,Optimizing Cloud Workloads: Autoscaling with Reinforcement Learning,IEEE CLOUD,Academic,High,Operate,RQ1,10.1109/cloud62652.2024.00033
54,Zafeiropoulos2022ServerlessRL,Zafeiropoulos A.,2022,Reinforcement learning-assisted autoscaling for serverless computing,Simulation Modelling Practice and Theory (Elsevier),Academic,High,Operate,RQ1,10.1016/j.simpat.2021.102461
55,Zhou2024DRLSurvey,Zhou G.,2024,Deep reinforcement learning-based methods for resource scheduling: a review,Artificial Intelligence Review (Springer),Academic,High,Operate,"RQ1, RQ4",10.1007/s10462-024-10756-9
56,Rubak2023MLKubernetes,Rubak A.,2023,Machine Learning for Predictive Resource Scaling on Kubernetes Platforms,ACM UCC,Academic,High,Operate,RQ1,10.1145/3603166.3632165
57,Mondal2023GRUKubernetes,Mondal S.K.,2023,Toward Optimal Load Prediction and Customizable Autoscaling for Kubernetes,Mathematics (MDPI),Academic,Moderate,"Inform, Operate","RQ1, RQ4",10.3390/math11122675
58,Shim2023TransformerScaling,Shim S.,2023,Predictive Auto-scaler for Kubernetes Cloud,IEEE SysCon,Academic,Moderate,Operate,RQ1,10.1109/syscon53073.2023.10131106
59,Akoto2022MultiCloud,Akoto J.,2022,Machine Learning vs Deep Learning for Anomaly Detection in Multi-cloud,IEEE Cloud Summit,Academic,High,Inform,RQ1,10.1109/cloudsummit54781.2022.00013
60,Gao2020DataMining,Gao J.,2020,A Data Mining Method Using Deep Learning for Anomaly Detection in Cloud,Mathematical Problems in Engineering,Academic,Moderate,Inform,RQ1,10.1155/2020/6343705
61,AlGhuwairi2023TimeSeries,Al-Ghuwairi A.-R.,2023,Intrusion Detection in Cloud Computing Based on Time Series Anomalies,Journal of Cloud Computing (Springer),Academic,High,Inform,RQ1,10.1186/s13677-023-00491-x
62,Dinh2020EDoS,Dinh P.T.,2020,Dynamic EDoS Detection in SDN-based Cloud,IEEE FMEC,Academic,High,Inform,"RQ1, RQ4",10.1109/fmec49853.2020.9144972
63,Ta2022EDoSAttention,Ta Q.V.,2022,EDoS Attack Detection by Attention on Flow-based in SDN,IEEE ICOIN,Academic,High,Inform,RQ1,10.1109/icoin53446.2022.9687229
64,Sun2024Routoo,Mohammadshahi A.,2024,Routoo: Learning to Route to Large Language Models Effectively,arXiv,Academic,Moderate,Optimize,RQ2,arXiv:2401.13979
65,Jiang2023LLMLingua,Jiang H.,2023,LLMLingua: Compressing Prompts for Accelerated Inference of LLMs,arXiv,Academic,Moderate,Optimize,RQ2,arXiv:2310.05736
66,Bang2023GPTCache,Bang F.,2023,GPTCache: An Open-Source Semantic Cache for LLM Applications,ACL NLP-OSS,Academic,High,Optimize,RQ2,ACL 2023
67,Gill2025MeanCache,Gill W.,2025,MeanCache: User-Centric Semantic Caching for LLM Web Services,IEEE IPDPS,Academic,High,Optimize,RQ2,10.1109/ipdps64566.2025.00117
68,Zhou2024LLMInferenceSurvey,Zhou Z.,2024,A Survey on Efficient Inference for Large Language Models,arXiv,Academic,Moderate,Optimize,RQ2,arXiv:2404.14294
69,Zhang2024LogAIOps,Zhang S.,2024,Large Language Models Empowered Online Log Anomaly Detection in AIOps,IEEE APSEC,Academic,High,Operate,RQ2,10.1109/apsec65559.2024.00051
70,Zha2024AlertAggregation,Zha J.,2024,Leveraging Large Language Models for Efficient Alert Aggregation in AIOps,Electronics (MDPI),Academic,Moderate,Operate,RQ2,10.3390/electronics13224425
71,Kurra2025AIFinOps,Kurra P.,2025,Role of AI in Cloud Cost Optimization and FinOps,World J. Adv. Eng. Tech. Sciences,Academic,Moderate,"Inform, Optimize","RQ1, RQ3",10.30574/wjaets.2025.15.1.0218
72,Ayachit2025IntelligentFinOps,Ayachit J.V.,2025,Towards Intelligent FinOps: A Predictive Analytics Approach for Cloud Cost,IEEE ASIANCON,Academic,High,Inform,"RQ1, RQ3",10.1109/ASIANCON66527.2025.11280711
73,Vadrevu2025StorageCost,Vadrevu N.R.T.,2025,Forecasting Cloud Storage Costs using Machine Learning on Usage Patterns,IEEE ICDICI,Academic,High,Inform,"RQ1, RQ3",10.1109/ICDICI66477.2025.11135182
74,Abdallah2024CloudAnomaly,Abdallah A.,2024,Cloud Network Anomaly Detection Using Machine and Deep Learning Techniques,IEEE Access,Academic,High,Inform,RQ1,10.1109/ACCESS.2024.3390844
75,Page2021PRISMA,Page M.J.,2021,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,BMJ,Academic,High,Methodology,Methodology,10.1136/bmj.n71
G1,FinOpsFoundation2025,FinOps Foundation,2025,State of FinOps 2025,FinOps Foundation,Grey Literature,High (AACODS),"Inform, Operate",RQ4,https://www.finops.org/insights/state-of-finops-2025
G2,FinOpsFoundation2024,FinOps Foundation,2024,State of FinOps 2024,FinOps Foundation,Grey Literature,High (AACODS),"Inform, Optimize, Operate","RQ3, RQ4",https://www.finops.org/insights/state-of-finops-2024
G3,Flexera2025,Flexera,2025,State of the Cloud Report 2025,Flexera,Grey Literature,High (AACODS),Inform,"RQ3, RQ4",https://www.flexera.com/blog/cloud/cloud-computing-trends-flexera-2025-state-of-the-cloud-report
G4,Storment2023,Storment J.R.,2023,"Cloud FinOps: Collaborative, Real-Time Cloud Financial Management (2nd ed.)",O'Reilly Media,Grey Literature,High (AACODS),"Inform, Optimize, Operate",RQ1,ISBN: 978-1492054627
REF,Tyndall2010AACODS,Tyndall J.,2010,AACODS Checklist for Appraising Grey Literature,Flinders University,Reference Only,N/A,N/A,N/A,https://dspace.flinders.edu.au/xmlui/handle/2328/3326
